id,femur inf,femur juv,femur sub,femur adult
1,4.23,11.88,8.63,20.13
2,8.6,7.02,15.68,17.97
3,4.72,7.79,12.5,20.84
4,6.24,6.59,11.95,15.91
5,5.93,7.03,15.89,19.97
6,6.1,8.64,9.19,16.69
7,7.26,5.01,18.03,21.04
8,8.41,7.88,17.42,17.57
9,9.03,7.51,13.22,17.18
10,7.59,6.78,15.31,17.04
11,4.51,11.5,8.31,23
12,6.22,5.66,12.38,26.32
13,7.91,3.77,7.91,18.08
14,6.1,6.33,11.91,18.26
15,1.24,7.16,15.6,15.6
16,4.76,9.75,13.97,17.48
17,6.72,10.42,17.7,19.73
18,5.27,9.26,11.27,16.65
19,4.8,10.98,11.37,15.64
20,8.45,10.06,13.15,19.49
21,6.66,10.63,21.9,17.63
22,6.7,9.65,11.46,20.46
23,6.2,5.64,15.58,20.4
24,9.1,12.22,14.32,16.88
25,5.97,7.55,15.6,21.46
26,7.09,7.53,16.34,20.7
27,5.78,8.69,21.72,15.41
28,9.73,10.37,17.14,18
29,5.3,3.32,16.2,21.78
30,7.24,9.06,10.43,15.77
31,6.46,11.56,16.11,16.52
32,5.3,9.37,14.78,17.33
33,6.44,10.81,13.42,18.58
34,5.58,10.69,15.22,13.08
35,9.36,8.35,16.78,17.03
36,5.33,4.76,14,18.78
37,5.87,6.42,10.63,18.66
38,6.06,8.23,11.29,19.21
39,6.68,4.38,12.96,22.93
40,3.88,8.47,8.6,16.54
41,3.82,9.18,10.55,17.22
42,7.64,10.73,17.35,21.83
43,5.46,5.72,5.68,17.6
44,3.98,1.93,17.92,20.55
45,8.24,6.63,16.61,15.07
46,6.3,11.21,11.66,17.45
47,6.77,7.62,14.94,15.38
48,7.96,10.85,22.27,19.12
49,8.26,6.36,11.93,14.33
50,9.41,10.02,15.03,18.53
51,6,6.56,11.31,20.13
52,3.64,6.71,9.96,19.15
53,7.99,8.59,16.63,14.36
54,5.34,8.45,15.82,18.2
55,6.96,7.77,10.75,15.87
56,3.98,9.59,19.42,20.05
57,6.73,8.38,12.77,14.78
58,3.74,6.52,15.99,21.62
59,6.68,9.52,12.42,20.57
60,4.26,5.16,14.11,19.26
61,8.1,5.5,16.21,16.35
62,4.95,9.77,13.29,15.85
63,5.66,13.3,12.28,19.34
64,5.2,7.79,12.67,18.71
65,6.41,8.04,13.44,15.91
66,6.38,8.06,19.55,17.29
67,7.9,6.79,14.68,19.98
68,3.79,8.19,17.03,19.16
69,7.07,8.94,13.22,16.22
70,7.68,5.74,11.94,15.84
71,5.7,7.8,7.87,16.42
72,7.91,11.6,18.29,20.83
73,2.91,10.4,9.41,21.02
74,4.4,8.63,15.16,15.34
75,4.75,7.44,15.77,16.26
76,6.46,7.33,11.97,21.75
77,5.15,5.69,12.72,19.2
78,3.59,7.05,12.76,15.9
79,8.51,7.25,9.56,19.53
80,3.68,5.9,15.42,14.33
81,6.76,7.46,8.71,19.47
82,7.46,9.03,14.13,18.73
83,4.91,6.33,17.46,13.42
84,3.79,8.46,11.38,17.1
85,5.24,8.56,10.61,15.94
86,5.48,9.58,13.99,15.56
