id,femur_length,age
1,5.77,juvenile
2,9.48,juvenile
3,3.2,juvenile
4,9.68,juvenile
5,17.63,juvenile
6,10.79,juvenile
7,19.94,juvenile
8,8.97,juvenile
9,2.47,juvenile
10,4.25,juvenile
11,18.35,juvenile
12,10.61,juvenile
13,13.89,juvenile
14,10.95,juvenile
15,7.16,juvenile
16,5.13,juvenile
17,9.04,juvenile
18,2.12,juvenile
19,6.64,juvenile
20,11.2,juvenile
21,11.2,juvenile
22,3.59,juvenile
23,8.29,juvenile
24,14.84,juvenile
25,1.14,juvenile
26,12.44,juvenile
27,12.2,juvenile
28,6.98,juvenile
29,10.16,juvenile
30,6.85,juvenile
31,3.2,juvenile
32,7.35,juvenile
33,6.2,juvenile
34,1.01,juvenile
35,7.34,juvenile
36,5.12,juvenile
37,4.2,juvenile
38,10.06,juvenile
39,4.69,juvenile
40,5.81,juvenile
41,13.47,juvenile
42,9.82,juvenile
43,6.75,juvenile
44,10.37,juvenile
45,8.84,juvenile
46,12.64,juvenile
47,7.9,juvenile
48,14.62,juvenile
49,8.9,juvenile
50,7.28,juvenile
51,5.19,juvenile
52,10.15,juvenile
53,13.11,juvenile
54,6.58,juvenile
55,7,juvenile
56,5.72,juvenile
57,6.75,juvenile
58,10.35,juvenile
59,10.67,juvenile
60,6.62,juvenile
61,5.91,juvenile
62,11.39,juvenile
63,9.47,juvenile
64,-1.7,juvenile
65,10.74,juvenile
66,11.77,juvenile
67,4.29,juvenile
68,8.79,juvenile
69,7.86,juvenile
70,7.19,juvenile
71,6.69,juvenile
72,0.45,juvenile
73,9.27,juvenile
74,13.99,juvenile
75,7.3,juvenile
76,7.92,juvenile
77,12.09,juvenile
78,11.81,juvenile
79,12.5,juvenile
80,10.7,juvenile
81,9.92,juvenile
82,9.52,juvenile
83,3.15,juvenile
84,11.68,juvenile
85,9.31,juvenile
86,11.92,juvenile
87,2.81,juvenile
88,9.48,juvenile
89,11.45,juvenile
90,10.45,juvenile
91,5.66,juvenile
92,12.9,juvenile
93,4.98,juvenile
94,12.96,juvenile
95,11.31,juvenile
96,18.38,juvenile
97,7.32,juvenile
98,5.28,juvenile
99,15,juvenile
100,7.5,juvenile
101,5.14,juvenile
102,10.95,juvenile
103,6.4,juvenile
104,9.89,juvenile
105,3.93,juvenile
106,13.73,juvenile
107,11.91,juvenile
108,5.18,juvenile
109,6.32,juvenile
110,9.4,juvenile
111,7.13,juvenile
112,7.99,juvenile
113,8.97,juvenile
114,5.76,juvenile
115,6.23,juvenile
116,8.5,juvenile
117,11.96,juvenile
118,4.88,juvenile
119,6.43,juvenile
120,4.51,juvenile
121,10.55,juvenile
122,2.89,juvenile
123,10.81,juvenile
124,5.9,juvenile
125,5.54,juvenile
126,15.27,juvenile
127,13.9,juvenile
128,7.12,juvenile
129,10.72,juvenile
130,2.3,juvenile
131,6.49,juvenile
132,15.13,juvenile
133,9.94,juvenile
134,5.73,juvenile
135,15.86,juvenile
136,15.64,juvenile
137,5.17,juvenile
138,9.73,juvenile
139,11.4,juvenile
140,4.6,juvenile
141,15.8,juvenile
142,4.73,juvenile
143,12.4,juvenile
144,17.29,juvenile
145,11.1,juvenile
146,8.67,juvenile
147,5.88,juvenile
148,14.47,juvenile
149,10.65,juvenile
150,4.34,juvenile
151,10.87,juvenile
152,2.52,juvenile
153,14.31,juvenile
154,9.58,juvenile
155,11.79,juvenile
156,10.9,juvenile
157,18.41,juvenile
158,7.8,juvenile
159,9.51,juvenile
160,11.99,juvenile
161,11.05,juvenile
162,7.73,juvenile
163,17.66,juvenile
164,6.21,juvenile
165,9.69,juvenile
166,10.47,juvenile
167,11.18,juvenile
168,13.51,juvenile
169,17.47,juvenile
170,12.91,juvenile
171,9.31,juvenile
172,8.11,juvenile
173,13.24,juvenile
174,11.83,juvenile
175,6.71,juvenile
176,3.2,juvenile
177,3.12,juvenile
178,7,juvenile
179,11.74,juvenile
180,11.01,juvenile
181,8.03,juvenile
182,13.11,juvenile
183,5.34,juvenile
184,14.45,juvenile
185,12.85,juvenile
186,7.01,juvenile
187,3.15,juvenile
188,2.75,juvenile
189,10.09,juvenile
190,10.51,juvenile
191,8.86,juvenile
192,6.2,juvenile
193,15.19,juvenile
194,11.27,juvenile
195,2.59,juvenile
196,6.16,juvenile
197,4.59,juvenile
198,9.65,juvenile
199,10.51,juvenile
200,9.57,juvenile
201,10.2,subadult
202,13.32,subadult
203,18.68,subadult
204,9.62,subadult
205,13.01,subadult
206,16.09,subadult
207,11.58,subadult
208,15.51,subadult
209,16.09,subadult
210,19.34,subadult
211,15.68,subadult
212,13.46,subadult
213,14.41,subadult
214,15.38,subadult
215,8.17,subadult
216,7.64,subadult
217,12.43,subadult
218,12.75,subadult
219,14.32,subadult
220,14.7,subadult
221,13.49,subadult
222,16.87,subadult
223,15.42,subadult
224,13.68,subadult
225,15.82,subadult
226,15.22,subadult
227,16.64,subadult
228,13.31,subadult
229,14.82,subadult
230,14.71,subadult
231,13.41,subadult
232,15.03,subadult
233,12.37,subadult
234,14.22,subadult
235,13.28,subadult
236,11.12,subadult
237,15.83,subadult
238,14.18,subadult
239,15.57,subadult
240,10.19,subadult
241,13.35,subadult
242,17.21,subadult
243,9.12,subadult
244,14.57,subadult
245,17.15,subadult
246,19.4,subadult
247,14.12,subadult
248,10.3,subadult
249,14.89,subadult
250,13.71,subadult
251,18.85,subadult
252,11.47,subadult
253,14.69,subadult
254,16.01,subadult
255,16.6,subadult
256,10.24,subadult
257,11.48,subadult
258,10.21,subadult
259,13.52,subadult
260,13.47,subadult
261,12.46,subadult
