id,femur length juvenile,femur length subadult,femur length adult
1,5.77,10.2,18.59
2,9.48,13.32,14.49
3,3.2,18.68,18.33
4,9.68,9.62,20.22
5,17.63,13.01,20.55
6,10.79,16.09,19.23
7,19.94,11.58,14.59
8,8.97,15.51,15.36
9,2.47,16.09,14.74
10,4.25,19.34,16.7
11,18.35,15.68,20.05
12,10.61,13.46,17.95
13,13.89,14.41,18.97
14,10.95,15.38,23.72
15,7.16,8.17,16.86
16,5.13,7.64,18.34
17,9.04,12.43,16.81
18,2.12,12.75,21.65
19,6.64,14.32,19.64
20,11.2,14.7,16.19
21,11.2,13.49,13.69
22,3.59,16.87,21.74
23,8.29,15.42,14.05
24,14.84,13.68,18.51
25,1.14,15.82,16.17
26,12.44,15.22,25.61
27,12.2,16.64,16.6
28,6.98,13.31,12.97
29,10.16,14.82,22.57
30,6.85,14.71,19.32
31,3.2,13.41,17.78
32,7.35,15.03,19.69
33,6.2,12.37,20.79
34,1.01,14.22,16.73
35,7.34,13.28,13.9
36,5.12,11.12,20.98
37,4.2,15.83,16.54
38,10.06,14.18,18.42
39,4.69,15.57,22.16
40,5.81,10.19,19.12
41,13.47,13.35,14.34
42,9.82,17.21,18.18
43,6.75,9.12,21.36
44,10.37,14.57,14.32
45,8.84,17.15,18.16
46,12.64,19.4,16.55
47,7.9,14.12,13.47
48,14.62,10.3,16.95
49,8.9,14.89,16.1
50,7.28,13.71,15.63
51,5.19,18.85,18.88
52,10.15,11.47,13.11
53,13.11,14.69,17.67
54,6.58,16.01,14.9
55,7,16.6,9.3
56,5.72,10.24,14.26
57,6.75,11.48,18.85
58,10.35,10.21,22.85
59,10.67,13.52,14.39
60,6.62,13.47,19.16
61,5.91,12.46,19.29
62,11.39,16.7,14.16
63,9.47,11.84,22.91
64,-1.7,11.56,21.65
65,10.74,14.32,17.6
66,11.77,12.55,17.13
67,4.29,8.66,18.52
68,8.79,17.65,22.1
69,7.86,18.08,14.16
70,7.19,20.44,17.67
71,6.69,12.51,15.67
72,0.45,14.68,19.93
73,9.27,14.8,13.02
74,13.99,10.79,17.79
75,7.3,16.26,20.77
76,7.92,13.49,18.93
77,12.09,20.05,22
78,11.81,10.44,9.21
79,12.5,12.44,21.15
80,10.7,13.58,17.47
81,9.92,9.36,19.18
82,9.52,13.94,20.89
83,3.15,17.62,12.49
84,11.68,11.98,14.32
85,9.31,8.12,21.4
86,11.92,15.58,14.97
87,2.81,17.42,18.46
88,9.48,13.09,17.25
89,11.45,11.62,11.44
90,10.45,21.78,18.18
91,5.66,9.39,17.05
92,12.9,11.21,20.22
93,4.98,14.39,23.11
94,12.96,8.95,17.8
95,11.31,15.87,21.83
96,18.38,16.1,11.27
97,7.32,16.53,16.25
98,5.28,14.29,17.74
99,15,15.17,20.3
100,7.5,11.17,16.88
101,5.14,14.13,21.29
102,10.95,11.44,9.06
103,6.4,12.62,12.72
104,9.89,18.16,17.59
105,3.93,14.74,21.57
106,13.73,13.17,15.36
107,11.91,10.51,15.29
108,5.18,20,22.13
109,6.32,19.23,18.81
110,9.4,14.63,16.73
111,7.13,10.57,17.29
112,7.99,12.97,16.83
